"open_data_assessment","own_or_reuse_data","data_access","restricted_authorship","n"
"open_data","own_open_data","yes","NULL",547
"open_data","own_open_data","yes",NA,9
"open_data","own_open_data","unsure","NULL",3
"open_data","own_open_data","reuse_access","NULL",1
"no_open_data","own_open_data","yes","NULL",10
"no_open_data","NULL","not_uploaded","NULL",1
"no_open_data","NULL","not_persistent","NULL",56
"no_open_data","NULL","not_persistent",NA,1
"no_open_data","NULL","NULL","NULL",371
"no_open_data","NULL","NULL",NA,20
"NULL","open_data_reuse","yes","NULL",51
"NULL","open_data_reuse","yes",NA,3
"NULL","open_data_reuse","unsure","NULL",1
"NULL","open_data_reuse","reuse_access","NULL",315
"NULL","open_data_reuse","reuse_access",NA,3
"NULL","NULL","reuse_access","NULL",1
"NULL","NULL","restricted","own_restricted",80
"NULL","NULL","restricted","reuse_restricted",52
"NULL","NULL","pharma_data","NULL",11
"NULL","NULL","embargo","NULL",7
"NULL","NULL","NULL","NULL",55
"NULL","NULL","NULL",NA,3
