"charite_doi","identifier_from_data_article_analysis","clean_identifier_from_data_article_analysis"
"10.1038/s41597-019-0129-z","10.18112/openneuro.ds001875.v1.0.3","openneuro.ds001875.v1.0"
"10.1038/s41597-019-0129-z","https://doi.org/10.5281/zenodo.1471588","10.5281/zenodo.1471588"
"10.1038/s41597-019-0161-z","srp136594","srp136594"
"10.1038/s41597-019-0161-z","srma00000000","srma00000000"
"10.1038/s41597-019-0161-z","ghnv00000000","ghnv00000000"
"10.1038/s41597-019-0161-z","10.6084/m9.figshare.c.4437488","m9.figshare.c.4437488"
"10.1038/s41597-019-0254-8","10.5061/dryad.119f80q","dryad.119f80q"
"10.1038/s41597-019-0254-8","10.18112/openneuro.ds002179.v1.1.0","openneuro.ds002179.v1.1"
"10.1038/s41597-020-00597-w","10.6084/m9.figshare.c.4869732","m9.figshare.c.4869732"
"10.1038/s41597-020-00597-w","http://www.vocaltractlab.de/dvtd.zip","dvtd.zip"
"10.1038/s41597-020-00773-y","https://zenodo.org/records/4059716","4059716"
"10.1038/s41597-020-0487-6","pxd016782","pxd016782"
"10.1038/s41597-020-0487-6","10.17632/nr7cs764rc.1","nr7cs764rc"
"10.1038/s41597-020-0495-6","https://physionet.org/content/ptb-xl/1.0.3/","1.0"
"10.1016/j.dib.2021.107011","10.17632/fzcmhhjs76.3","fzcmhhjs76"
"10.1016/j.dib.2021.107320","gse173610","gse173610"
"10.1016/j.dib.2021.107604","10.17632/mtd59df24s.2","mtd59df24s"
"10.1038/s41597-021-00913-y","https://doi.org/10.6084/m9.figshare.c.5222051","10.6084/m9.figshare.c.5222051"
"10.1016/j.dib.2022.108347","10.17632/wrhr5862cb.1","wrhr5862cb"
"10.1016/j.dib.2022.108399","10.17605/osf.io/d34y5","//osf.io/d34y5"
"10.1016/j.dib.2022.108542","https://github.com/emilywavery/radiomics-data-sharing","//github.com/emilywavery/radiomics-data-sharing"
"10.1016/j.dib.2022.108649","10.17632/vfpxcbk5bx.4","vfpxcbk5bx"
"10.1016/j.dib.2022.108739","10.5281/zenodo.6481140","zenodo.6481140"
"10.1038/s41597-022-01401-7","10.3886/icpsr36684.v4","icpsr36684"
"10.1038/s41597-022-01401-7","https://github.com/npnl/atlas/","//github.com/npnl/atlas/"
"10.1038/s41597-022-01532-x","10.6019/chembl4495565","chembl4495565"
"10.1038/s41597-022-01532-x","https://doi.org/10.6084/m9.figshare.19316219.v1","10.6084/m9.figshare.19316219.v1"
"10.1038/s41597-022-01532-x","https://doi.org/10.6084/m9.figshare.19298807.v2","10.6084/m9.figshare.19298807.v2"
"10.1038/s41597-022-01532-x","https://doi.org/10.6084/m9.figshare.19255067.v3","10.6084/m9.figshare.19255067.v3"
"10.1038/s41597-022-01669-9","https://napkon.de/statistik/","statistik"
"10.1038/s41597-022-01669-9","10.5281/zenodo.6576176","zenodo.6576176"
"10.1038/s41597-022-01806-4","https://openneuro.org/datasets/ds001226","ds001226"
"10.1038/s41597-022-01806-4","https://openneuro.org/datasets/ds002080","ds002080"
"10.1038/s41597-022-01822-4","10.17605/osf.io/8mbru","//osf.io/8mbru"
"10.1038/s41597-022-01822-4","https://alteredstatesdb.org/","alteredstatesdb.org"
